epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,314.72,1.09007,0.54158,1.12118,0.8986,0.91693,0.96845,0.59274,1.40029,0.65025,1.21902,0.000456558,0.000456558,0.000456558
43,321.689,1.09058,0.54333,1.11861,0.91687,0.90873,0.96478,0.59393,1.38269,0.64823,1.21264,0.000455614,0.000455614,0.000455614
44,328.675,1.10473,0.56496,1.12407,0.86481,0.90112,0.93837,0.57996,1.39052,0.77337,1.23565,0.000454648,0.000454648,0.000454648
45,335.694,1.11564,0.57261,1.12624,0.89963,0.94899,0.97546,0.5745,1.45608,0.65685,1.25452,0.000453661,0.000453661,0.000453661
46,342.668,1.11535,0.55242,1.12537,0.95054,0.93666,0.98713,0.59848,1.42202,0.58535,1.23904,0.000452654,0.000452654,0.000452654
47,349.678,1.08928,0.5459,1.10633,0.90547,0.91601,0.97535,0.56708,1.51571,0.68241,1.29008,0.000451625,0.000451625,0.000451625
48,356.857,1.12079,0.5721,1.12373,0.88872,0.86786,0.95837,0.52856,1.56329,0.81537,1.31859,0.000450575,0.000450575,0.000450575
49,363.883,1.10622,0.5472,1.10719,0.87017,0.91017,0.94034,0.57234,1.39957,0.76266,1.26191,0.000449505,0.000449505,0.000449505
50,370.84,1.1011,0.54776,1.09817,0.91739,0.90198,0.96591,0.58911,1.4146,0.66889,1.21271,0.000448414,0.000448414,0.000448414
51,377.818,1.08956,0.54758,1.09573,0.94587,0.92823,0.97987,0.59957,1.42162,0.62754,1.20693,0.000447303,0.000447303,0.000447303
52,384.865,1.12063,0.54754,1.11575,0.91285,0.95794,0.98301,0.58318,1.47988,0.6242,1.26415,0.000446171,0.000446171,0.000446171
53,391.786,1.10545,0.54316,1.12194,0.93776,0.91257,0.97342,0.58514,1.4443,0.6499,1.24374,0.000445019,0.000445019,0.000445019
54,398.873,1.09229,0.51667,1.11162,0.93604,0.91299,0.96844,0.56089,1.49817,0.67324,1.29578,0.000443847,0.000443847,0.000443847
55,405.79,1.06922,0.51407,1.10693,0.91465,0.93259,0.97031,0.56406,1.51972,0.65619,1.27805,0.000442655,0.000442655,0.000442655
56,412.635,1.08888,0.53572,1.10818,0.88676,0.89207,0.9164,0.53607,1.49609,0.76435,1.29083,0.000441443,0.000441443,0.000441443
